date,week_sum,slope7,slope21,std7,std21,mean7,mean21,cross,skew7,skew21,kurt7,kurt21,min7,min21,max7,max21,weekofyear,month,year,quarter,ratio_x,ratio_y,"('isHoliday', 'count')",temp,temp_min,temp_max,rain,humidity,snow,temp_avg,temp_min_max,temp_min_min,temp_min_avg,temp_max_max,temp_max_min,temp_max_avg
2016-09-12,-3.0,-4.142857142857142,-5.345454545454546,27.097706808623123,46.494444112520156,-0.42857142857142855,25.333333333333332,-1.0,0.8840597614806935,0.18078995956870877,0.22764641402594918,0.3565479319252887,-32.0,-74.0,47.0,130.0,37.0,9.0,2016.0,3.0,0.0,25.780260000000002,0.0,23.4,23.0,24.7,1.0,49.0,0.0,24.028571428571432,23.0,23.0,23.0,24.7,24.7,24.7
2016-09-19,6.0,-1.8928571428571428,-0.15194805194805208,9.95705062472029,24.25793929925851,0.8571428571428571,-0.047619047619047616,1.0,0.12242783720377833,-1.1650120123703491,-0.8785622337200699,3.758249338156501,-11.0,-74.0,16.0,47.0,38.0,9.0,2016.0,3.0,0.0,32.4627,0.0,21.9,21.9,24.6,0.0,36.0,0.0,23.74285714285714,21.9,21.9,21.9,24.6,24.6,24.6
2016-09-26,-90.0,2.4642857142857135,-0.9207792207792208,7.581305328014259,17.53364113432966,-12.857142857142858,-4.142857142857143,-1.0,-0.3324359264155579,1.2393556518471915,-1.7591348176784614,2.51737126543522,-24.0,-32.0,-5.0,47.0,39.0,9.0,2016.0,3.0,0.0,29.39255,0.0,23.6,20.2,23.6,0.0,40.0,0.0,21.857142857142854,20.2,20.2,20.2,23.6,23.6,23.6
2016-10-03,-89.0,0.6785714285714285,-0.8181818181818183,5.1223134654648135,9.914155344221513,-12.714285714285714,-8.238095238095237,-1.0,-0.5956643797602638,0.7282525822682407,-1.4433371431583475,0.5149374474780022,-20.0,-24.0,-7.0,16.0,40.0,10.0,2016.0,4.0,0.0,28.61379,0.0,22.7,19.0,22.7,1.0,41.0,0.0,20.657142857142855,19.0,19.0,19.0,22.7,22.7,22.7
2016-10-10,-100.0,2.464285714285714,0.11298701298701301,10.403753901284013,7.623272637992055,-14.285714285714286,-13.285714285714286,-1.0,-1.3446109406855686,-1.084411902231371,1.305208622655556,1.0639918492698592,-34.0,-34.0,-5.0,-5.0,41.0,10.0,2016.0,4.0,0.0,25.95099,0.0,14.0,11.3,22.0,0.0,22.0,0.0,17.557142857142857,11.3,11.3,11.3,22.0,22.0,22.0
2016-10-17,-96.0,0.1428571428571429,0.05584415584415587,11.996031089704166,9.162813042729567,-13.714285714285714,-13.571428571428571,-1.0,-1.2262493848640545,-1.239877320614869,2.2376627432361205,1.6506892196018292,-37.0,-37.0,0.0,0.0,42.0,10.0,2016.0,4.0,0.0,24.68998,0.0,17.5,15.2,19.1,0.0,53.0,0.0,16.65714285714286,15.2,15.2,15.2,19.1,19.1,19.1
2016-10-24,-40.0,-0.4999999999999997,0.6220779220779221,34.01820241045199,20.94971303358,-5.714285714285714,-11.238095238095237,1.0,0.5383254211343276,1.0749501804400179,2.1377719033682268,5.489169733264408,-57.0,-57.0,56.0,56.0,43.0,10.0,2016.0,4.0,0.0,21.053729999999998,1.0,15.1,13.3,18.6,0.0,37.0,0.0,16.885714285714283,13.3,13.3,13.3,18.6,18.6,18.6
2016-10-31,-59.0,0.6071428571428571,0.34545454545454546,8.100558475774006,20.53324829911634,-8.428571428571429,-9.285714285714286,1.0,-1.2063888967491838,0.9106409421464716,0.4032423254922385,5.652831513737735,-23.0,-57.0,-1.0,56.0,44.0,10.0,2016.0,4.0,0.0,17.82783,1.0,5.7,5.7,14.6,1.0,42.0,0.0,11.142857142857144,5.7,5.7,5.7,14.6,14.6,14.6
2016-11-07,-31.0,3.464285714285714,0.21168831168831173,13.402203088277455,20.583048966583828,-4.428571428571429,-6.190476190476191,1.0,-1.0761711781400758,0.5697642954348721,1.144726224038486,4.882295047951099,-29.0,-57.0,12.0,56.0,45.0,11.0,2016.0,4.0,0.0,16.701610000000002,0.0,12.8,1.5,15.0,1.0,50.0,0.0,9.828571428571427,1.5,1.5,1.5,15.0,15.0,15.0
2016-11-14,-6.0,-1.7142857142857142,0.5675324675324677,8.254868693276894,10.200840301466735,-0.8571428571428571,-4.571428571428571,1.0,-1.752247160809409,-0.9192427478950367,3.886279990682503,0.5066912860689495,-18.0,-29.0,7.0,12.0,46.0,11.0,2016.0,4.0,0.0,16.479960000000002,0.0,13.2,2.1,14.4,1.0,59.0,0.0,8.614285714285714,2.1,2.1,2.1,14.4,14.4,14.4
2016-11-21,-20.0,0.7142857142857144,0.18961038961038965,12.143977539363966,10.991555199932968,-2.857142857142857,-2.7142857142857144,-1.0,-0.5253404241932779,-0.9568967512316151,0.6996421693621848,0.6741490016060695,-24.0,-29.0,13.0,13.0,47.0,11.0,2016.0,4.0,0.0,15.53645,0.0,9.5,5.2,13.0,0.0,31.0,0.0,8.87142857142857,5.2,5.2,5.2,13.0,13.0,13.0
2016-11-28,10.0,-0.8571428571428571,0.07792207792207792,7.138093649761582,9.120881327446748,1.4285714285714286,-0.7619047619047619,1.0,0.1343325755761908,-0.8527025590936229,1.070216787492356,1.1987183144645133,-10.0,-24.0,13.0,13.0,48.0,11.0,2016.0,4.0,0.0,16.2643,3.0,1.4,-2.5,3.3,0.0,32.0,0.0,0.6142857142857142,-2.5,-2.5,-2.5,3.3,3.3,3.3
2016-12-05,-1.0,0.46428571428571425,0.18441558441558442,3.236694374910347,8.121693466315731,-0.14285714285714285,-0.5238095238095238,1.0,-1.9270502571193007,-0.8738263440165318,4.512743801652893,2.6651738745390157,-7.0,-24.0,3.0,13.0,49.0,12.0,2016.0,4.0,0.0,16.39309,1.0,5.9,1.6,6.0,1.0,49.0,0.0,4.185714285714285,1.6,1.6,1.6,6.0,6.0,6.0
2016-12-12,3.0,0.10714285714285714,-0.07402597402597402,1.1338934191977847,4.388296122190855,0.42857142857142855,0.5714285714285714,-1.0,2.6457513110645894,0.38965046135449033,6.999999999999998,4.036374131005913,0.0,-10.0,3.0,13.0,50.0,12.0,2016.0,4.0,0.0,16.24932,0.0,2.3,-1.6,2.3,0.0,26.0,0.0,0.5285714285714285,-1.6,-1.6,-1.6,2.3,2.3,2.3
2016-12-19,-5.0,0.3571428571428571,-0.002597402597402601,2.9840847684252805,2.535462763966935,-0.7142857142857143,-0.14285714285714285,-1.0,-0.8601782854835754,-1.4912672688346544,0.5778317938745758,2.6592904483430786,-6.0,-7.0,3.0,3.0,51.0,12.0,2016.0,4.0,0.0,15.21296,0.0,7.2,-5.0,7.2,1.0,49.0,0.0,1.0142857142857145,-5.0,-5.0,-5.0,7.2,7.2,7.2
2016-12-26,0.0,0.0,-0.010389610389610384,1.9641638700568478e-05,1.813966975820585,0.0,-0.09523809523809523,1.0,0.0,-1.5663700761480785,0.0,5.686324911908869,0.0,-6.0,0.0,3.0,52.0,12.0,2016.0,4.0,0.0,13.65841,0.0,2.5,-2.5,7.9,1.0,62.0,0.0,2.8000000000000003,-2.5,-2.5,-2.5,7.9,7.9,7.9
2017-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2017.0,1.0,14.245997835127897,16.7675,1.0,5.0,-4.2,5.0,1.0,57.0,0.0,-0.8142857142857142,-4.2,-4.2,-4.2,5.0,5.0,5.0
2017-01-09,57.0,1.0357142857142856,0.5558441558441557,5.304984179322041,4.8902234830614555,8.142857142857142,2.7142857142857144,1.0,0.6386102473384174,1.889474940670593,2.765765672910915,3.509928508488326,0.0,0.0,18.0,18.0,2.0,1.0,2017.0,1.0,20.288269811428247,17.204810000000002,0.0,1.5,1.5,6.5,1.0,41.0,0.0,3.957142857142857,1.5,1.5,1.5,6.5,6.5,6.5
2017-01-16,82.0,-6.344131569286608e-17,0.7831168831168831,6.550172662209898,6.822581553020751,11.714285714285714,6.619047619047619,1.0,0.5802051559787684,0.8239848932204922,-1.1363319335649926,-0.14029856176407002,4.0,0.0,21.0,21.0,3.0,1.0,2017.0,1.0,13.590839172790975,17.39351,0.0,-3.8,-8.4,-2.2,0.0,17.0,0.0,-4.928571428571429,-8.4,-8.4,-8.4,-2.2,-2.2,-2.2
2017-01-23,249.0,8.285714285714285,2.0844155844155847,22.904563903708084,18.285565475584963,35.57142857142857,18.476190476190474,1.0,0.5487724110134189,1.856826311578731,-0.8331502382683424,3.143837077020797,9.0,0.0,71.0,71.0,4.0,1.0,2017.0,1.0,10.78106306614254,14.802610000000001,0.0,-8.9,-8.9,-0.5,0.0,33.0,0.0,-4.357142857142857,-8.9,-8.9,-8.9,-0.5,-0.5,-0.5
2017-01-30,357.0,5.892857142857142,3.015584415584415,28.26658805020513,26.15703492734748,51.0,32.76190476190476,1.0,-0.49336276730176476,0.7137283230433211,0.6142054915327222,-0.585144868962932,2.0,2.0,86.0,86.0,5.0,1.0,2017.0,1.0,13.39486127727454,20.43371,0.0,-4.8,-7.0,0.8,1.0,44.0,1.0,-3.1000000000000005,-7.0,-7.0,-7.0,0.8,0.8,0.8
2017-02-06,501.0,9.64285714285714,3.1571428571428566,33.915862281323676,31.153078270281497,71.57142857142857,52.714285714285715,1.0,0.9696103585165143,0.6546581555474116,-0.6632846137463517,0.5657069471238071,38.0,2.0,126.0,126.0,6.0,2.0,2017.0,1.0,13.960006836438215,20.90397,0.0,-1.7,-5.4,1.5,0.0,33.0,0.0,-1.4571428571428573,-5.4,-5.4,-5.4,1.5,1.5,1.5
2017-02-13,465.0,1.2499999999999993,1.5922077922077922,28.640630479891914,30.18443307402012,66.42857142857143,63.0,1.0,0.5438124215681948,0.4365102385771598,-1.3389980711279108,0.05757937776890661,35.0,2.0,106.0,126.0,7.0,2.0,2017.0,1.0,14.592377371389508,24.465339999999998,0.0,0.1,-6.6,0.1,0.0,31.0,0.0,-3.2857142857142856,-6.6,-6.6,-6.6,0.1,0.1,0.1
2017-02-20,645.0,10.892857142857142,2.101298701298701,39.142596453772185,34.3571577071545,92.14285714285714,76.71428571428571,1.0,0.9127709199980844,0.8663152474605332,-0.7969523121477373,-0.15625746877720645,53.0,35.0,154.0,154.0,8.0,2.0,2017.0,1.0,16.247934825955674,24.9356,0.0,-1.5,-2.6,5.5,1.0,34.0,0.0,0.9428571428571431,-2.6,-2.6,-2.6,5.5,5.5,5.5
2017-02-27,814.0,11.607142857142856,4.036363636363637,41.36308453083215,40.67121364119369,116.28571428571429,91.61904761904762,1.0,1.2214302865085982,0.8667148941557847,1.2823184261012215,0.5418392161309364,72.0,35.0,194.0,194.0,9.0,2.0,2017.0,1.0,16.51455591636757,28.535909999999998,0.0,3.7,-1.5,3.7,0.0,18.0,0.0,1.2428571428571427,-1.5,-1.5,-1.5,3.7,3.7,3.7
2017-03-06,1349.0,-2.75,7.118181818181819,84.14613139397106,70.89861977298493,192.71428571428572,133.71428571428572,1.0,-0.41320078849954106,0.9744500243570208,-1.8399109133264488,-0.19020752822695564,70.0,53.0,281.0,281.0,10.0,3.0,2017.0,1.0,19.68666324844756,31.61205,2.0,0.1,0.1,5.7,0.0,20.0,0.0,3.814285714285714,0.1,0.1,0.1,5.7,5.7,5.7
2017-03-13,1446.0,1.4642857142857153,6.120779220779222,50.54653678495092,71.12544250427254,206.57142857142858,171.85714285714286,1.0,-0.29086956219741644,0.13097451081695916,-0.785617813523627,-1.4332736226481388,130.0,70.0,266.0,281.0,11.0,3.0,2017.0,1.0,20.51045405343816,39.38177,1.0,6.9,-1.3,8.2,0.0,28.0,0.0,4.142857142857143,-1.3,-1.3,-1.3,8.2,8.2,8.2
2017-03-20,1570.0,4.642857142857142,2.131168831168831,45.205878252407025,60.65499626105489,224.28571428571428,207.85714285714286,1.0,0.43430955759001166,-0.5998496975996209,-0.9827161192579574,-0.3054879657447507,173.0,70.0,295.0,295.0,12.0,3.0,2017.0,1.0,21.53250156668376,42.48487,0.0,10.2,5.8,10.9,0.0,23.0,0.0,8.085714285714285,5.8,5.8,5.8,10.9,10.9,10.9
2017-03-27,1325.0,11.0,-0.477922077922078,69.28134497759677,55.080979345998344,189.28571428571428,206.71428571428572,-1.0,1.126626561329841,0.24852583409699652,-0.8938171517836266,-1.2831287284027137,129.0,129.0,291.0,295.0,13.0,3.0,2017.0,1.0,23.53443855751153,40.08865,0.0,6.1,6.1,9.1,1.0,38.0,0.0,7.757142857142857,6.1,6.1,6.1,9.1,9.1,9.1
