,sum,week_sum,slope7,slope21,std7,std21,mean7,mean21,cross,skew7,skew21,kurt7,kurt21,min7,min21,max7,max21,weekofyear,month,year,quarter
2017-02-03,1006.0,11713.0,-296.57142857142856,-92.79480519480519,1293.7988914157295,1166.791310348496,1673.2857142857142,2233.4761904761904,-1.0,2.2045970222379987,0.5150779561599295,4.872293657859702,0.05723179808970208,922.0,258.0,4465.0,4792.0,6,2,2017,1
2017-02-04,1198.0,11767.0,-423.10714285714283,-102.67792207792208,1290.27322687871,1186.5782377431808,1681.0,2172.285714285714,-1.0,2.2020512103296817,0.6236487984979423,4.874483001566991,-4.096183133444558e-05,922.0,258.0,4465.0,4792.0,6,2,2017,1
2017-02-05,1687.0,8989.0,-24.74999999999999,-90.34155844155846,435.07487040409734,1151.954967704487,1284.142857142857,2087.0476190476193,-1.0,1.3708244871086768,0.8429846813273033,0.7160647674713345,0.5927039214599769,922.0,258.0,2086.0,4792.0,6,2,2017,1
2017-02-06,1963.0,8866.0,162.53571428571428,-53.310389610389606,398.2151249190379,971.0179881615642,1266.5714285714287,1952.3333333333333,-1.0,1.2241906792620012,0.6758588945716295,-0.016665152404463156,0.8497975796217739,922.0,258.0,1963.0,4465.0,6,2,2017,1
2017-02-07,887.0,8831.0,72.64285714285715,-57.3077922077922,403.4479962947951,984.1669380266542,1261.5714285714287,1868.8095238095239,-1.0,1.1802782044183158,0.8422125757796848,-0.058812549866177476,0.9890259399244068,887.0,258.0,1963.0,4465.0,7,2,2017,1
2017-02-08,611.0,8388.0,-26.71428571428571,-66.99740259740258,470.5924331045256,1014.7907619190217,1198.2857142857142,1786.7619047619048,-1.0,0.7160496428294392,0.9263873824646737,-0.36224832168013493,0.9397521463726665,611.0,258.0,1963.0,4465.0,7,2,2017,1
2017-02-09,477.0,7829.0,-127.17857142857142,-75.08961038961039,544.3680915039183,1042.681558930305,1118.4285714285713,1694.6666666666667,-1.0,0.5472834469938623,1.0262913525760349,-0.8726101308388963,1.0218758068426337,477.0,258.0,1963.0,4465.0,7,2,2017,1
2017-02-10,385.0,7208.0,-221.82142857142856,-83.35064935064935,612.1281767423421,1070.2350809852135,1029.7142857142858,1603.142857142857,-1.0,0.5986773659429856,1.121711385180981,-1.2672445810049602,1.1268616402576606,385.0,258.0,1963.0,4465.0,7,2,2017,1
2017-02-11,189.0,6199.0,-287.85714285714283,-100.73246753246752,680.838418702229,1113.5167991120563,885.5714285714286,1532.5238095238096,-1.0,0.8969434926838843,1.0933042390991132,-0.8567476327261005,0.9291261097810412,189.0,189.0,1963.0,4465.0,7,2,2017,1
2017-02-12,986.0,5498.0,-162.60714285714286,-126.03766233766234,588.620380534816,1082.761128737433,785.4285714285714,1567.1904761904761,-1.0,1.522828082330558,1.1659675433377976,2.7124136254607576,1.139147478998777,189.0,189.0,1963.0,4465.0,7,2,2017,1
2017-02-13,514.0,4049.0,-23.464285714285708,-116.43246753246751,278.6574104181543,1038.2094957872687,578.4285714285714,1439.4285714285713,-1.0,0.31825181187717616,1.4613240673855257,-0.664590521548891,2.4072224371014834,189.0,189.0,986.0,4465.0,7,2,2017,1
2017-02-14,249.0,3411.0,-14.678571428571427,-107.15584415584418,264.907980429502,989.1861373299324,487.2857142857143,1300.2857142857142,-1.0,1.064480817878117,1.76642877772585,1.5501275889156134,4.231377930168468,189.0,189.0,986.0,4465.0,8,2,2017,1
2017-02-15,173.0,2973.0,-30.678571428571427,-101.97142857142858,281.99332987721084,964.7177109936148,424.7142857142857,1180.5238095238096,-1.0,1.4895379328611784,2.065461150685573,2.5245248464612557,6.012073624024301,173.0,173.0,986.0,4465.0,8,2,2017,1
2017-02-16,306.0,2802.0,-35.92857142857142,-99.5935064935065,284.1077930913502,956.3849070725594,400.2857142857143,1093.095238095238,-1.0,1.8002187673443755,2.3255196052514573,3.4188529163451067,7.297967276318417,173.0,173.0,986.0,4465.0,8,2,2017,1
2017-02-17,129.0,2546.0,-67.17857142857142,-104.62987012987013,302.2977088267527,970.6443686933892,363.7142857142857,1022.2380952380952,-1.0,1.8368048383537254,2.4041897713380016,3.31406414291813,7.551592600587906,129.0,129.0,986.0,4465.0,8,2,2017,1
2017-02-18,175.0,2532.0,-112.35714285714285,-113.8935064935065,303.6893776463666,987.453386482718,361.7142857142857,976.0952380952381,-1.0,1.8277697256181489,2.4035438997645326,3.2694590828660437,7.385482867850819,129.0,129.0,986.0,4465.0,8,2,2017,1
2017-02-19,442.0,1988.0,-14.571428571428571,-70.98831168831167,145.9451951932622,584.9527005705329,284.0,784.5238095238095,-1.0,0.7275208263861038,0.9210394965289188,-0.9836828336529706,0.11514892605858393,129.0,129.0,514.0,2086.0,8,2,2017,1
2017-02-20,504.0,1978.0,41.857142857142854,-56.03896103896105,143.34440710267862,505.42404167664944,282.57142857142856,709.1904761904761,-1.0,0.6893670156979468,0.9728539343694026,-1.1049037582219263,0.557983707278194,129.0,129.0,504.0,1963.0,8,2,2017,1
2017-02-21,152.0,1881.0,23.07142857142857,-60.23506493506492,151.58244652741791,517.0110848954396,268.7142857142857,672.5238095238095,-1.0,0.8215685474205285,1.0714419305035703,-1.2491945838360543,0.6253558332016589,129.0,129.0,504.0,1963.0,9,2,2017,1
2017-02-22,224.0,1932.0,4.607142857142857,-60.61038961038961,147.38272173720392,518.1145626210457,276.0,633.0,-1.0,0.7433953968974742,1.2601574000818967,-1.1695920535167794,1.0310860067472425,129.0,129.0,504.0,1963.0,9,2,2017,1
2017-02-23,273.0,1899.0,8.57142857142857,-59.52857142857143,146.78977517265128,515.1855329231702,271.2857142857143,596.6666666666666,-1.0,0.8853875680044514,1.4707174039909172,-0.891488523302477,1.5927640474039384,129.0,129.0,504.0,1963.0,9,3,2017,1
2017-02-24,78.0,1848.0,-32.464285714285715,-60.416883116883135,156.0053417888826,518.110762197389,264.0,552.4761904761905,-1.0,0.6671405374794802,1.646782626323521,-0.8767556164886742,2.1476821396619754,78.0,78.0,504.0,1963.0,9,3,2017,1
